"export","kind","signature","rd_alias","rd_page","test_file","test_id","example_id"
"aggregate_disclosures","function","facts","aggregate_disclosures","reporting_monitoring.Rd","tests/testthat/test-reporting.R","aggregate_disclosures computes six dimensional views","aggregate_disclosures"
"allocate_credit_enhancements","function","collateral,instruments","allocate_credit_enhancements","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","allocate_credit_enhancements respects capacity","allocate_credit_enhancements"
"allocate_overlay","function","amount,allocation_weights","allocate_overlay","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","allocate_overlay applies governed weights","allocate_overlay"
"allowance_rollforward","function","instruments,opening,ecl_results,processed_events,fx","allowance_rollforward","reporting_monitoring.Rd","tests/testthat/test-reporting.R","allowance_rollforward bridges opening to closing","allowance_rollforward"
"amortisation_schedule","function","opening,eir,cashflows","amortisation_schedule","core_formulas.Rd","tests/testthat/test-formulas.R","amortisation_schedule preserves period detail","amortisation_schedule"
"amortised_cost_step","function","opening,eir,time,cash_received,adjustment","amortised_cost_step","core_formulas.Rd","tests/testthat/test-formulas.R","amortised_cost_step applies effective interest","amortised_cost_step"
"assess_business_model","function","model","assess_business_model","classification_decisions.Rd","tests/testthat/test-classification.R","assess_business_model validates explicit judgements","assess_business_model"
"assess_derecognition","function","event,instrument","assess_derecognition","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","assess_derecognition processes a risk transfer","assess_derecognition"
"assess_hedge_effectiveness","function","relationship","assess_hedge_effectiveness","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","assess_hedge_effectiveness returns measurement","assess_hedge_effectiveness"
"assess_ibor_relief","function","applicable,policy_reference,approval_reference","assess_ibor_relief","classification_decisions.Rd","tests/testthat/test-classification.R","assess_ibor_relief records a controlled interface","assess_ibor_relief"
"assess_reclassification","function","instrument,features","assess_reclassification","classification_decisions.Rd","tests/testthat/test-classification.R","assess_reclassification reports no unchanged business model","assess_reclassification"
"assess_recognition","function","instrument","assess_recognition","classification_decisions.Rd","tests/testthat/test-classification.R","assess_recognition exposes recognition facts","assess_recognition"
"assess_scope","function","instrument","assess_scope","classification_decisions.Rd","tests/testthat/test-classification.R","assess_scope returns the approved scope decision","assess_scope"
"assess_sicr","function","facts,policy","assess_sicr","classification_decisions.Rd","tests/testthat/test-classification.R","assess_sicr responds to a watchlist trigger","assess_sicr"
"assess_sppi","function","features","assess_sppi","classification_decisions.Rd","tests/testthat/test-classification.R","assess_sppi evaluates complete contractual features","assess_sppi"
"assess_stage","function","facts,policy","assess_stage","classification_decisions.Rd","tests/testthat/test-classification.R","assess_stage preserves a clean stage-one case","assess_stage"
"backtest_ead","function","observations","backtest_ead","reporting_monitoring.Rd","tests/testthat/test-reporting.R","backtest_ead evaluates EAD observations","backtest_ead"
"backtest_lgd","function","observations","backtest_lgd","reporting_monitoring.Rd","tests/testthat/test-reporting.R","backtest_lgd evaluates LGD observations","backtest_lgd"
"backtest_models","function","observations","backtest_models","reporting_monitoring.Rd","tests/testthat/test-reporting.R","backtest_models accepts governed CCF monitoring","backtest_models"
"backtest_pd","function","observations","backtest_pd","reporting_monitoring.Rd","tests/testthat/test-reporting.R","backtest_pd evaluates PD observations","backtest_pd"
"backtest_staging","function","observations","backtest_staging","reporting_monitoring.Rd","tests/testthat/test-reporting.R","backtest_staging evaluates staging observations","backtest_staging"
"benchmark_ecl","function","iterations","benchmark_ecl","core_formulas.Rd","tests/testthat/test-formulas.R","benchmark_ecl returns the fixed checksum","benchmark_ecl"
"build_journals","function","ecl_results,opening_allowances,classifications,instruments,processed_events,own_credit_results,hedge_results","build_journals","reporting_monitoring.Rd","tests/testthat/test-reporting.R","build_journals creates a balanced allowance entry","build_journals"
"cash_shortfall_ecl","function","contractual,expected,eir","cash_shortfall_ecl","core_formulas.Rd","tests/testthat/test-formulas.R","cash_shortfall_ecl discounts both legs","cash_shortfall_ecl"
"classify_instrument","function","instrument,features,scope_decision","classify_instrument","classification_decisions.Rd","tests/testthat/test-classification.R","classify_instrument matches the reference asset","classify_instrument"
"compare_challenger","function","reference,challenger","compare_challenger","reporting_monitoring.Rd","tests/testthat/test-reporting.R","compare_challenger reports metric differences","compare_challenger"
"component_ecl","function","marginal_pd,ead,lgd,eir,year","component_ecl","core_formulas.Rd","tests/testthat/test-formulas.R","component_ecl matches the independent golden case","component_ecl"
"continuing_involvement","function","event,instrument","continuing_involvement","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","continuing_involvement remains bounded","continuing_involvement"
"coverage_ratio","function","allowance,gross_exposure","coverage_ratio","core_formulas.Rd","tests/testthat/test-formulas.R","coverage_ratio handles a zero denominator explicitly","coverage_ratio"
"cumulative_pd_from_conditional","function","conditional","cumulative_pd_from_conditional","core_formulas.Rd","tests/testthat/test-formulas.R","cumulative_pd_from_conditional applies survival logic","cumulative_pd_from_conditional"
"disclosure_facts","function","instruments,ecl_results,classifications,stages,fx,presentation_currency","disclosure_facts","reporting_monitoring.Rd","tests/testthat/test-reporting.R","disclosure_facts creates atomic net amounts","disclosure_facts"
"discount_factor","function","rate,year_fraction","discount_factor","core_formulas.Rd","tests/testthat/test-formulas.R","discount_factor computes annual compound discounting","discount_factor"
"ead_profile","function","drawn,undrawn,ccf,prepayment","ead_profile","core_formulas.Rd","tests/testthat/test-formulas.R","ead_profile combines drawn and converted undrawn amounts","ead_profile"
"effective_interest_rate","function","initial_net,cashflows,tolerance","effective_interest_rate","core_formulas.Rd","tests/testthat/test-formulas.R","effective_interest_rate solves the independent golden case","effective_interest_rate"
"export_profile","function","profile_id,destination","export_profile","reference_data.Rd","tests/testthat/test-resources.R","export_profile writes 19 canonical JSON tables and a manifest","export_profile"
"export_results","function","result,destination","export_results","workflow.Rd","tests/testthat/test-workflow.R","export_results writes seven grouped JSON files and manifests","export_results"
"get_controls","function","result","get_controls","workflow.Rd","tests/testthat/test-workflow.R","get_controls returns 28 passed controls","get_controls"
"get_formula","function","formula_id,rule_set_id","get_formula","reference_data.Rd","tests/testthat/test-resources.R","get_formula resolves a versioned registry row","get_formula"
"get_lineage","function","result","get_lineage","workflow.Rd","tests/testthat/test-workflow.R","get_lineage records the public contract version","get_lineage"
"get_metrics","function","result","get_metrics","workflow.Rd","tests/testthat/test-workflow.R","get_metrics returns an independent copy","get_metrics"
"get_parameters","function","policy_id","get_parameters","reference_data.Rd","tests/testthat/test-resources.R","get_parameters returns policy values with stable IDs","get_parameters"
"get_policy","function","policy_id","get_policy","reference_data.Rd","tests/testthat/test-resources.R","get_policy returns an explicit versioned independent policy","get_policy"
"get_schema","function","table","get_schema","reference_data.Rd","tests/testthat/test-resources.R","get_schema exposes all canonical tables and columns","get_schema"
"get_sources","function","","get_sources","reference_data.Rd","tests/testthat/test-resources.R","get_sources returns metadata without redistributed standard texts","get_sources"
"get_table","function","result,name","get_table","workflow.Rd","tests/testthat/test-workflow.R","get_table resolves a unique sheet name","get_table"
"gross_rollforward","function","instruments,opening,processed_events,fx","gross_rollforward","reporting_monitoring.Rd","tests/testthat/test-reporting.R","gross_rollforward reports the contractual residual","gross_rollforward"
"hedge_ineffectiveness","function","hedging_change,hedged_change","hedge_ineffectiveness","core_formulas.Rd","tests/testthat/test-formulas.R","hedge_ineffectiveness returns the signed residual","hedge_ineffectiveness"
"hedge_reserve_rollforward","function","opening,hedge_results","hedge_reserve_rollforward","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","hedge_reserve_rollforward aggregates result rows","hedge_reserve_rollforward"
"impairment_scope","function","instrument","impairment_scope","classification_decisions.Rd","tests/testthat/test-classification.R","impairment_scope identifies the general approach","impairment_scope"
"initial_measurement","function","instrument,category","initial_measurement","classification_decisions.Rd","tests/testthat/test-classification.R","initial_measurement includes eligible transaction costs","initial_measurement"
"interest_revenue","function","instrument,stage,allowance","interest_revenue","classification_decisions.Rd","tests/testthat/test-classification.R","interest_revenue uses a net stage-three basis","interest_revenue"
"lgd_from_recoveries","function","ead,recoveries,eir,costs","lgd_from_recoveries","core_formulas.Rd","tests/testthat/test-formulas.R","lgd_from_recoveries matches the independent golden case","lgd_from_recoveries"
"liability_modification_test","function","original_present_value,modified_present_value,qualitative_substantial,tolerance","liability_modification_test","core_formulas.Rd","tests/testthat/test-formulas.R","liability_modification_test includes threshold equality","liability_modification_test"
"list_profiles","function","","list_profiles","reference_data.Rd","tests/testthat/test-resources.R","list_profiles returns two stable identifiers","list_profiles"
"load_reference_data","function","profile_id","load_reference_data","reference_data.Rd","tests/testthat/test-resources.R","load_reference_data loads complete synthetic profiles","load_reference_data"
"marginal_pd_from_cumulative","function","cumulative","marginal_pd_from_cumulative","core_formulas.Rd","tests/testthat/test-formulas.R","marginal_pd_from_cumulative differences a valid curve","marginal_pd_from_cumulative"
